FACNAME,COURSECODE,NAMEENGLISHABBR,SECTION,TOTALCREDIT,STARTTIME,ENDTIME,TEACHTYPE,BUILDINGNAMEABBR,ROOMNO,INSTRUCTORS,STUDYPROGRAMSYSTEM,TOTALREG
"คณะทันตแพทยศาสตร์","3200828","DISSERTATION",1,48,"IA","IA00","LECT","DEN14","705","STAFF","S",50
"คณะทันตแพทยศาสตร์","3200829","DISSERTATION",1,60,"IA","IA","IDPS","DEN14","705","STAFF","S",10
"คณะทันตแพทยศาสตร์","3200830","DISSERTATION",1,72,"IA","IA","IDPS","DEN14","705","STAFF","S",5
"คณะทันตแพทยศาสตร์","3200894","DOC DISSERT SEM",1,0,"1300","1400","SMNA","DEN15","IA","STAFF","S",15
"คณะทันตแพทยศาสตร์","3200896","COMPREHENSIVE EXAM",1,0,"IA","AR","LECT","DEN16","613","STAFF","I",23
"คณะทันตแพทยศาสตร์","3200897","QUALIFYING EXAM",1,0,"IA","IA","LECT","DEN15","IA","STAFF","S",10
"คณะทันตแพทยศาสตร์","3200911","CONSERV DENT",1,1,"0800","0900","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200912","ART APP GEN ESTH",1,1,"1300","1600","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200913","PRIN ESTH DENT I",1,1,"0800","0900","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200914","PRIN ESTH DENT II",1,1,"0800","0900","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200915","OCC REST DENT",1,1,"1300","1400","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200916","PRIN IMPL I",1,1,"0900","1000","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200917","PRIN IMPL II",1,1,"0800","0900","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200918","MULTI APP ADV IMPL",1,2,"0800","0900","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200923","ADV ESTH MULTI APP",1,2,"0900","1100","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200924","DIAG REST IMPL",1,1,"1300","1400","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200925","MAT SCI ESTH IMPL",1,1,"1100","1200","LECT","DEN16","613","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200926","TECH ESTH DENT",1,1,"1100","1200","LECT","DEN16","613","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200927","SEM ESTH DENT I",1,1,"0900","1200","SMNA","DEN16","613","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200928","SEM ESTH DENT II",1,1,"1300","1600","SMNA","DEN16","613","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200929","SEM ESTH DENT III",1,1,"1300","1600","SMNA","DEN16","613","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200931","ESTH IMPL CLIN I",1,2,"0900","1200","CLIN","DEN14","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200931","ESTH IMPL CLIN I",1,2,"1300","1600","CLIN","DEN16","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200932","ESTH IMPL CLIN II",1,2,"0900","1200","CLIN","DEN14","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200932","ESTH IMPL CLIN II",1,2,"1300","1600","CLIN","DEN14","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200933","ESTH IMPL CLIN III",1,4,"0900","1200","CLIN","DEN16","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200933","ESTH IMPL CLIN III",1,4,"1300","1600","CLIN","DEN14","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200940","SEM IMPL I",1,1,"1300","1600","SMNA","DEN16","613","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200941","SEM IMPL II",1,1,"1300","1600","SMNA","DEN16","613","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200942","SEM IMPL III",1,1,"1300","1600","SMNA","DEN16","613","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200943","IMPL DENT LAB",1,1,"0900","1200","LAB","DEN14","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200951","PHOTO ESTH",1,1,"1000","1100","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200952","ESTH CLIN LAB DSGN",1,1,"IA","AR","LECT","DEN16","613","STAFF","I",20
"คณะทันตแพทยศาสตร์","3200954","ESTH DENT LAB",1,1,"1300","1600","LAB","DEN14","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200955","IND ESTH IMPL I",1,3,"1300","1600","IDPS","DEN16","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200955","IND ESTH IMPL I",1,3,"IA","IA","IDPS","DEN16","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200956","IND ESTH IMPL II",1,3,"1300","1600","IDPS","DEN16","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200956","IND ESTH IMPL II",1,3,"IA","IA","IDPS","DEN16","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",1,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",2,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",3,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",4,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",5,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",6,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",7,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",8,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",9,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",10,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",11,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",12,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",13,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201224","BRAIN/CRANIO LAB",14,1,"1300","1600","LAB","DEN14","609","STAFF","S",10
"คณะทันตแพทยศาสตร์","3201709","TIS CUL DENT",1,1,"IA","IA","LECT","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3201710","TIS CUL DENT LAB",1,1,"IA","IA","LAB","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3202201","HUM DEF I",1,1,"1100","1200","LECT","DEN16","208","STAFF","S",140
"คณะทันตแพทยศาสตร์","3202202","HUM DEF II",1,1,"0800","0900","LECT","DEN16","208","STAFF","S",140
"คณะทันตแพทยศาสตร์","3202203","HUM DEF LAB",1,1,"0900","1200","LAB","DEN14","318","STAFF","S",10
