FACNAME,COURSECODE,NAMEENGLISHABBR,EXAMDATE,EXAMSTARTTIME,EXAMENDTIME,EXAMTYPE,BUILDINGNAMEABBR,ROOMNO,NUMEXAMSEAT,STUDYPROGRAMSYSTEM
"คณะวิศวกรรมศาสตร์","2110101","COMP PROG",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","417",35,"S"
"คณะวิศวกรรมศาสตร์","2110101","COMP PROG",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","404",42,"S"
"คณะวิศวกรรมศาสตร์","2110101","COMP PROG",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","415",80,"S"
"คณะวิศวกรรมศาสตร์","2110101","COMP PROG",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","409",70,"S"
"คณะวิศวกรรมศาสตร์","2110200","DISCRETE STRUC",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","317",35,"S"
"คณะวิศวกรรมศาสตร์","2110200","DISCRETE STRUC",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","318",44,"S"
"คณะวิศวกรรมศาสตร์","2110200","DISCRETE STRUC",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","319",44,"S"
"คณะวิศวกรรมศาสตร์","2110215","PROG METH I",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","501",62,"S"
"คณะวิศวกรรมศาสตร์","2110215","PROG METH I",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","502",62,"S"
"คณะวิศวกรรมศาสตร์","2110221","COMP ENG ESS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","204",41,"S"
"คณะวิศวกรรมศาสตร์","2110221","COMP ENG ESS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","205",41,"S"
"คณะวิศวกรรมศาสตร์","2110221","COMP ENG ESS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",41,"S"
"คณะวิศวกรรมศาสตร์","2110251","DIG COMP LOGIC",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","315",82,"S"
"คณะวิศวกรรมศาสตร์","2110251","DIG COMP LOGIC",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","318",45,"S"
"คณะวิศวกรรมศาสตร์","2110253","COMP ELEC INTF",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","204",42,"S"
"คณะวิศวกรรมศาสตร์","2110253","COMP ELEC INTF",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","206",41,"S"
"คณะวิศวกรรมศาสตร์","2110253","COMP ELEC INTF",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","205",41,"S"
"คณะวิศวกรรมศาสตร์","2110313","OS SYS PROG",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","419",43,"S"
"คณะวิศวกรรมศาสตร์","2110313","OS SYS PROG",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","420",50,"S"
"คณะวิศวกรรมศาสตร์","2110316","PROG LANG PRIN",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",50,"S"
"คณะวิศวกรรมศาสตร์","2110316","PROG LANG PRIN",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",44,"S"
"คณะวิศวกรรมศาสตร์","2110327","ALGORITHM DESIGN",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","502",29,"S"
"คณะวิศวกรรมศาสตร์","2110327","ALGORITHM DESIGN",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","504",70,"S"
"คณะวิศวกรรมศาสตร์","2110352","COMP SYS ARCH",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",50,"S"
"คณะวิศวกรรมศาสตร์","2110352","COMP SYS ARCH",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",44,"S"
"คณะวิศวกรรมศาสตร์","2110355","FORM LANG/AUTO",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",60,"S"
"คณะวิศวกรรมศาสตร์","2110355","FORM LANG/AUTO",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",42,"S"
"คณะวิศวกรรมศาสตร์","2110423","SOFTWARE ENG",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",60,"S"
"คณะวิศวกรรมศาสตร์","2110423","SOFTWARE ENG",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","304",42,"S"
"คณะวิศวกรรมศาสตร์","2110428","INTRO DATA MINING",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","401",25,"S"
"คณะวิศวกรรมศาสตร์","2112341","HYDROLOGY",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","501",56,"S"
"คณะวิศวกรรมศาสตร์","2112341","HYDROLOGY",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","502",57,"S"
"คณะวิศวกรรมศาสตร์","2112344","HYDRAULIC LAB I",9/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","401",45,"S"
"คณะวิศวกรรมศาสตร์","2112344","HYDRAULIC LAB I",9/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","409",63,"S"
"คณะวิศวกรรมศาสตร์","2112346","HYDRAULICS I",2/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","EN100","504",60,"S"
"คณะวิศวกรรมศาสตร์","2112440","HYDRAULIC ENG",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","320",17,"S"
"คณะวิศวกรรมศาสตร์","2141347","INTRO PHARNANOTECH",1/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","304/2",16,"I"
"คณะวิศวกรรมศาสตร์","2141402","NANOMAT SYN AEROSL",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","306",24,"I"
"คณะวิศวกรรมศาสตร์","2141451","BIONANOTECHNOLOGY",4/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/2",16,"I"
"คณะวิศวกรรมศาสตร์","2141453","MOL BIOL NANOENG",9/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","304/2",9,"I"
"คณะวิศวกรรมศาสตร์","2141481","IT COMM",2/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","321",20,"I"
"คณะวิศวกรรมศาสตร์","2141482","EFF PROB SOLV IND",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/2",16,"I"
"คณะวิศวกรรมศาสตร์","2141491","RES METHODO",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","309",24,"I"
"คณะวิศวกรรมศาสตร์","2142251","MFG AUTO ENG I",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/2",42,"I"
"คณะวิศวกรรมศาสตร์","2142251","MFG AUTO ENG I",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","304/2",14,"I"
"คณะวิศวกรรมศาสตร์","2142401","AUTO ENG SEMINAR",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG2","304/2",30,"I"
"คณะวิศวกรรมศาสตร์","2142425","SYS DYNA CONTROLS",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","306",10,"I"
"คณะวิศวกรรมศาสตร์","2142451","MOTOR VEH DSGN",9/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/1",29,"I"
"คณะวิศวกรรมศาสตร์","2142470","MAT AUTO ENG",9/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","304/2",17,"I"
"คณะวิศวกรรมศาสตร์","2142495","INDEP STUDY",1/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/1",20,"I"
"คณะวิศวกรรมศาสตร์","2143408","TELE ENG NET OPT",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","404",39,"I"
"คณะวิศวกรรมศาสตร์","2143409","PRIN WIRELESS COM",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","302",28,"I"
"คณะวิศวกรรมศาสตร์","2143416","USER INT DES",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","302",47,"I"
"คณะวิศวกรรมศาสตร์","2143421","OPT THEO APP",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","210",46,"I"
"คณะวิศวกรรมศาสตร์","2143423","HI TECH ENTREPREN",9/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","301",54,"I"
"คณะวิศวกรรมศาสตร์","2145211","INTRO AERO ENG",8/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","308",25,"I"
"คณะวิศวกรรมศาสตร์","2145311","AERODYNAMICS I",30/11/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","304/2",24,"I"
"คณะวิศวกรรมศาสตร์","2145321","AIR STRUC I",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","418",25,"I"
"คณะวิศวกรรมศาสตร์","2145325","FLIGHT MECH",9/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG2","303/2",25,"I"
"คณะวิศวกรรมศาสตร์","2145401","AIR PROPULSION",2/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","418",21,"I"
